"ID","degree","betweenness","constraint","transitivity","density","k_core_max","strength_close","strength_freq","log_degree","log_constraint","strength_close_norm","strength_freq_norm"
"175",14,0.58974358974359,0.199717485255629,0.5859375,0.371428571428571,5,28,59,2.63905732961526,-1.61085148477874,2,4.21428571428571
"176",15,0.341746031746032,0.222902766579883,0.739393939393939,0.508333333333333,8,38,61,2.70805020110221,-1.50101962691371,2.53333333333333,4.06666666666667
"177",7,0.128571428571429,0.469884770234624,0.861111111111111,0.785714285714286,5,19,33,1.94591014905531,-0.755267784050605,2.71428571428571,4.71428571428571
"178",7,0.73015873015873,0.303004535147392,0.538461538461538,0.428571428571429,3,16,31,1.94591014905531,-1.19400750610164,2.28571428571429,4.42857142857143
"179",20,0.856315789473684,0.119747392290249,0.38255033557047,0.195238095238095,5,48,71,2.99573227355399,-2.12237081921006,2.4,3.55
"18",3,0,0.925925925925926,1,1,3,9,15,1.09861228866811,-0.0769610411361282,3,5
"180",16,0.663888888888889,0.196034021355938,0.49811320754717,0.316176470588235,4,37,63,2.77258872223978,-1.62946705646797,2.3125,3.9375
"181",16,0.735972222222222,0.17879603241036,0.55893536121673,0.308823529411765,5,41,68,2.77258872223978,-1.72150960658758,2.5625,4.25
"182",7,0.69047619047619,0.323554421768707,0.486486486486487,0.428571428571429,3,20,34,1.94591014905531,-1.12838795115683,2.85714285714286,4.85714285714286
"183",16,0.535555555555556,0.205217636719482,0.669291338582677,0.397058823529412,7,31,60,2.77258872223978,-1.58368422045357,1.9375,3.75
"184",14,0.286551543694401,0.239635586991788,0.735483870967742,0.561904761904762,6,37,60,2.63905732961526,-1.42863589709292,2.64285714285714,4.28571428571429
"185",23,0.539215132693394,0.153115383847862,0.735521235521235,0.391304347826087,9,60,100,3.13549421592915,-1.87656349901601,2.60869565217391,4.34782608695652
"186",6,0.444444444444444,0.433641975308642,0.583333333333333,0.571428571428571,3,15,30,1.79175946922805,-0.835536027018529,2.5,5
"187",6,0.733333333333333,0.384259259259259,0.576923076923077,0.476190476190476,3,15,27,1.79175946922805,-0.956437799887567,2.5,4.5
"188",10,0.777777777777778,0.212,0.631578947368421,0.363636363636364,5,24,42,2.30258509299405,-1.55116900431012,2.4,4.2
"189",5,0.4,0.53,0.882352941176471,0.733333333333333,4,14,18,1.6094379124341,-0.63487827243597,2.8,3.6
"19",10,0.8,0.251041666666667,0.434782608695652,0.327272727272727,3,26,43,2.30258509299405,-1.38213635097123,2.6,4.3
"190",12,0.542929292929293,0.257789617583144,0.477707006369427,0.371794871794872,4,27,49,2.484906649788,-1.35561146243332,2.25,4.08333333333333
"191",20,0.792105263157895,0.152871031746032,0.634615384615385,0.280952380952381,7,50,82,2.99573227355399,-1.87816064281926,2.5,4.1
"192",8,0.571428571428571,0.352391493055556,0.571428571428571,0.472222222222222,3,22,36,2.07944154167984,-1.04301252523545,2.75,4.5
"193",4,0.583333333333333,0.534722222222222,0.545454545454545,0.6,2,11,20,1.38629436111989,-0.626007877722317,2.75,5
"194",7,0.380952380952381,0.410929705215419,0.818181818181818,0.642857142857143,5,19,34,1.94591014905531,-0.889333112652931,2.71428571428571,4.85714285714286
"195",12,0.598484848484849,0.25904864260519,0.54,0.384615384615385,4,32,54,2.484906649788,-1.35073942563011,2.66666666666667,4.5
"196",15,0.606984126984127,0.2008299760645,0.56989247311828,0.35,5,39,72,2.70805020110221,-1.60529661911645,2.6,4.8
"197",10,0.640740740740741,0.297822222222222,0.59375,0.418181818181818,4,30,46,2.30258509299405,-1.21125854021934,3,4.6
