word,f1,f2,f3
WJA,2360000,2330000,2310000
WJB,3170000,3180000,3200000
WJE,1410000,1380000,1380000
WJG,2300000,2320000,2340000
WJH,2100000,9390000,2110000
WJK,6160000,6180000,6090000
WJL,3470000,3450000,3470000
WJM,2450000,2440000,2450000
WJN,1740000,1670000,1760000
WJP,1580000,1570000,1570000
WJS,3420000,3430000,3420000
WJT,3290000,3290000,3300000
WKC,2980000,3000000,3050000
WKD,4200000,4240000,4240000
WKF,4170000,4180000,4200000
WKH,3310000,3340000,3300000
WKN,8780000,8820000,8820000
WKP,2300000,2310000,2310000
WKS,15500000,15400000,15500000
WKT,5430000,5460000,5470000
WLA,10500000,10500000,10500000
WLB,3510000,3520000,3550000
WLD,11200000,11300000,11400000
WLF,13400000,13400000,13400000
WLJ,1510000,1510000,1540000
WLM,6360000,6360000,6370000
WLN,3250000,3250000,3310000
WLP,4290000,4310000,4400000
WLR,4210000,4220000,4320000
WMD,5130000,8780000,3090000
WMJ,2530000,2520000,2520000
WMK,5470000,5480000,5540000
WML,29300000,8780000,8830000
WMT,1890000,6140000,6210000
WNB,2580000,2580000,2610000
WNE,3510000,3520000,3540000
WNF,3080000,3100000,3120000
WNG,2700000,2710000,2720000
WNH,66800000,67000000,2670000
WNJ,1340000,1340000,1360000
WNK,2240000,2250000,2260000
WNM,2200000,2200000,2240000
WPD,5790000,5960000,5800000
WPF,5690000,17000000,16800000
WPG,6100000,6130000,6100000
WPH,2100000,2100000,2100000
WPJ,1670000,1670000,1630000
WPK,3150000,3170000,3070000
WPL,5660000,5120000,5130000
WPM,9400000,10100000,10200000
WPN,3880000,3900000,3860000
WPS,22000000,131000000,132000000
WPT,8780000,9050000,8670000
WRC,43100000,43300000,43400000
WRF,6490000,6520000,6610000
WRH,2910000,2920000,2940000
WRJ,1800000,1810000,1800000
WRK,5990000,6010000,6050000
WRM,5430000,5450000,5520000
WRN,4260000,4270000,4340000
WRP,5170000,5180000,5220000
WRS,8780000,8820000,8820000
WSA,9650000,9660000,9720000
WSB,9720000,9770000,4450000
WSC,10100000,10100000,10100000
WSE,4410000,4400000,4370000
WSF,4260000,4270000,4170000
WSG,4810000,6140000,6160000
WSH,3010000,10600000,10400000
WSJ,33000000,41600000,41000000
WSK,6590000,6620000,6530000
WSL,11400000,11700000,11700000
WSM,9460000,21300000,21200000
WTC,7510000,25600000,7740000
WTD,5310000,5380000,5380000
WTE,6740000,15900000,5260000
WTH,32400000,32600000,32200000
WTJ,2270000,2280000,2280000
WTM,6280000,6560000,2000000
WTP,19200000,13700000,24500000
WTR,8350000,8350000,8350000
