"ID","Section","image1","label1","node1","node2","image2","label2","sub_reported","edge","true_structure","Condition","Structure","rt","correct"
"2","2","CFD-WM-015-002-N_circ.png","DBG",4,7,"CFD-LM-207-004-N_circ.png","WSG","TRUE","3-6",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-WM-015-002-N_circ.png","DBG",4,5,"CFD-AF-201-060-N_circ.png","LCF","TRUE","3-4",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-WM-015-002-N_circ.png","DBG",4,6,"CFD-BM-027-001-N_circ.png","EKF","TRUE","3-5",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-AF-201-060-N_circ.png","LCF",5,6,"CFD-BM-027-001-N_circ.png","EKF","TRUE","4-5",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-LM-207-004-N_circ.png","WSG",7,9,"CFD-BF-050-003-N_circ.png","TDH","TRUE","6-8",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-LM-207-004-N_circ.png","WSG",7,8,"CFD-BM-045-004-N_circ.png","RMJ","TRUE","6-7",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-BM-045-004-N_circ.png","RMJ",8,9,"CFD-BF-050-003-N_circ.png","TDH","TRUE","7-8",TRUE,"social","natural",115.175,TRUE
"2","2","CFD-WF-036-023-N_circ.png","ENM",1,3,"CFD-LF-236-221-N_circ.png","KJT","FALSE","0-2",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-WF-036-023-N_circ.png","ENM",1,4,"CFD-WM-015-002-N_circ.png","DBG","FALSE","0-3",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-WF-036-023-N_circ.png","ENM",1,5,"CFD-AF-201-060-N_circ.png","LCF","FALSE","0-4",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-WF-036-023-N_circ.png","ENM",1,6,"CFD-BM-027-001-N_circ.png","EKF","FALSE","0-5",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-WF-036-023-N_circ.png","ENM",1,7,"CFD-LM-207-004-N_circ.png","WSG","FALSE","0-6",FALSE,"social","natural",115.175,TRUE
"2","2","CFD-WF-036-023-N_circ.png","ENM",1,8,"CFD-BM-045-004-N_circ.png","RMJ","FALSE","0-7",FALSE,"social","natural",115.175,TRUE
